Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Ticker
4/26/2021,170.57,4/26/2021,19.94,4/26/2021,200.79,4/26/2021,55.68,4/26/2021,190.3,4/26/2021,48.87,4/26/2021,115.26,7/23/2021,9.92,4/26/2021,117.68,4/26/2021,58.66,4/26/2021,19,5/7/2021,65.86,4/26/2021,55.69,
4/27/2021,169.75,4/27/2021,20.06,4/27/2021,204.24,4/27/2021,56.2,4/27/2021,187.66,4/27/2021,49.16,4/27/2021,114.78,7/26/2021,9.92,4/27/2021,118.67,4/27/2021,58.92,4/27/2021,18.71,5/10/2021,63.6,4/27/2021,54.66,
4/28/2021,169.4,4/28/2021,20.01,4/28/2021,211.41,4/28/2021,56.74,4/28/2021,188.21,4/28/2021,49.19,4/28/2021,114.79,7/27/2021,9.9,4/28/2021,119.23,4/28/2021,56.52,4/28/2021,18.83,5/11/2021,62.66,4/28/2021,54.15,
4/29/2021,167.62,4/29/2021,20.13,4/29/2021,214.73,4/29/2021,56.43,4/29/2021,187.33,4/29/2021,49.56,4/29/2021,114.91,7/28/2021,9.92,4/29/2021,120.23,4/29/2021,56.97,4/29/2021,18.15,5/12/2021,57.46,4/29/2021,52.8,
4/30/2021,168.17,4/30/2021,19.78,4/30/2021,214.17,4/30/2021,54.88,4/30/2021,183.43,4/30/2021,48.76,4/30/2021,112.58,7/29/2021,9.95,4/30/2021,118.24,4/30/2021,56.41,4/30/2021,18.02,5/13/2021,54.89,4/30/2021,52.74,
5/3/2021,165.99,5/3/2021,20.07,5/3/2021,213.71,5/3/2021,56.09,5/3/2021,181.93,5/3/2021,49.73,5/3/2021,111.36,7/30/2021,9.95,5/3/2021,119.06,5/3/2021,55.85,5/3/2021,17.72,5/14/2021,58.37,5/3/2021,52.57,
5/4/2021,162.11,5/4/2021,20.42,5/4/2021,214.7,5/4/2021,57.4,5/4/2021,175.14,5/4/2021,49.79,5/4/2021,108.89,8/2/2021,9.94,5/4/2021,119.04,5/4/2021,54.93,5/4/2021,18.08,5/17/2021,61,5/4/2021,52.68,
5/5/2021,167.15,5/5/2021,20.79,5/5/2021,215.92,5/5/2021,60.91,5/5/2021,178.49,5/5/2021,47.68,5/5/2021,110.7,8/3/2021,9.93,5/5/2021,121.83,5/5/2021,53.34,5/5/2021,18.67,5/18/2021,65.46,5/5/2021,54.57,
5/6/2021,152.85,5/6/2021,20.45,5/6/2021,220.35,5/6/2021,62.92,5/6/2021,159.1,5/6/2021,48.41,5/6/2021,111.3,8/4/2021,9.94,5/6/2021,117.42,5/6/2021,54,5/6/2021,17.24,5/19/2021,61.31,5/6/2021,53.14,
5/7/2021,162.72,5/7/2021,20.1,5/7/2021,221.46,5/7/2021,62.37,5/7/2021,166.49,5/7/2021,48.86,5/7/2021,114.71,8/5/2021,9.95,5/7/2021,120.41,5/7/2021,54.44,5/7/2021,18.15,5/20/2021,61.42,5/7/2021,55.02,
